127.0.0.1 - - [06/Aug/2022:14:01:17 +0530] "GET /ServletBankingApp/index.html HTTP/1.1" 200 303
127.0.0.1 - - [06/Aug/2022:14:12:23 +0530] "GET /ServletBankingApp/ HTTP/1.1" 200 19079
127.0.0.1 - - [06/Aug/2022:14:12:23 +0530] "GET /ServletBankingApp/css/css_slider.css HTTP/1.1" 200 10617
127.0.0.1 - - [06/Aug/2022:14:12:23 +0530] "GET /ServletBankingApp/css/bootstrap.css HTTP/1.1" 200 178152
127.0.0.1 - - [06/Aug/2022:14:12:23 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 200 36687
127.0.0.1 - - [06/Aug/2022:14:12:23 +0530] "GET /ServletBankingApp/css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:12:27 +0530] "GET /ServletBankingApp/images/banner.jpg HTTP/1.1" 404 1021
127.0.0.1 - - [06/Aug/2022:14:12:28 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:12:28 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:12:28 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:12:35 +0530] "GET /ServletBankingApp/services.html HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:12:38 +0530] "GET /ServletBankingApp/contact.html HTTP/1.1" 404 1011
127.0.0.1 - - [06/Aug/2022:14:15:43 +0530] "GET /ServletBankingApp/contact.html HTTP/1.1" 404 1011
127.0.0.1 - - [06/Aug/2022:14:17:41 +0530] "GET /ServletBankingApp/ HTTP/1.1" 200 18875
127.0.0.1 - - [06/Aug/2022:14:17:41 +0530] "GET /ServletBankingApp/css/css_slider.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:41 +0530] "GET /ServletBankingApp/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:41 +0530] "GET /ServletBankingApp/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:41 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/images/banner.jpg HTTP/1.1" 404 1021
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:17:45 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:17:47 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:47 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:17:47 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:18:34 +0530] "GET /ServletBankingApp/ HTTP/1.1" 200 18896
127.0.0.1 - - [06/Aug/2022:14:18:34 +0530] "GET /ServletBankingApp/css/css_slider.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:18:34 +0530] "GET /ServletBankingApp/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:18:34 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:18:34 +0530] "GET /ServletBankingApp/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/images/banner.jpg HTTP/1.1" 404 1021
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:18:38 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:18:45 +0530] "GET /ServletBankingApp/contact.html HTTP/1.1" 404 1011
127.0.0.1 - - [06/Aug/2022:14:18:47 +0530] "GET /ServletBankingApp/services.html HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/ HTTP/1.1" 200 18871
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/css/css_slider.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/images/banner.jpg HTTP/1.1" 404 1021
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:19:50 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:20:13 +0530] "GET /ServletBankingApp/ HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:20:17 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:20:20 +0530] "GET /ServletBankingApp/ HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:20:25 +0530] "GET /ServletBankingApp/ HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:20:30 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:20:40 +0530] "GET /ServletBankingApp/ HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/a4.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/girl.png HTTP/1.1" 404 1017
